Entraineur,Autostart,Deferre,Gagnant,Record,Gain,Crack,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,DUBOIS,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,NON,,VIEUX,,OUI,NON,H,LONG,DELAROCHE,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,NON,,VIEUX,,OUI,NON,H,LONG,HAON,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,BAZIRE,VINCENNES,NON,NON,JEUDI 01 JANVIER 2009
NON,NON,OUI,,VIEUX,,OUI,NON,H,LONG,LANCELIN,VINCENNES,OUI,OUI,JEUDI 01 JANVIER 2009
NON,NON,OUI,,VIEUX,,OUI,NON,H,LONG,PITON,VINCENNES,OUI,NON,VENDREDI 01 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,JUEL,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,OUI,,VIEUX,,OUI,NON,H,LONG,PELLEROT,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,OUI,,VIEUX,,OUI,OUI,H,LONG,NISKANEN,VINCENNES,NON,OUI,VENDREDI 01 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,OUI,M,LONG,OUVRIE,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,VERVA,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,VAN EECKHAUTE,VINCENNES,NON,OUI,VENDREDI 01 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,ROGER,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
NON,NON,NON,,VIEUX,,OUI,NON,F,COURT,LOCQUENEUX,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,DUVALDESTIN,VINCENNES,OUI,NON,VENDREDI 01 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,F,COURT,VERCRUYSSE,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,BAZIRE,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,RAYON,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,DUBOIS,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,LE BELLER,VINCENNES,OUI,OUI,VENDREDI 01 JANVIER 2010
OUI,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,BAZIRE,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,LE BELLER,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,PITON,VINCENNES,OUI,OUI,VENDREDI 01 JANVIER 2010
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,ADIELSSON,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,OUI,OUI,,VIEUX,,OUI,OUI,M,COURT,DUBOIS,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,LEDOUX,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,NON,NON,,VIEUX,,OUI,NON,F,LONG,DUBOIS,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
NON,NON,OUI,,VIEUX,,OUI,NON,F,LONG,MICHARDIERE,VINCENNES,NON,OUI,VENDREDI 01 JANVIER 2010
NON,NON,NON,,VIEUX,,OUI,NON,F,LONG,JOSEPH,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
NON,NON,NON,,VIEUX,,OUI,NON,F,LONG,RAFFEGEAU,VINCENNES,OUI,NON,VENDREDI 01 JANVIER 2010
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,ABRIVARD,VINCENNES,OUI,NON,VENDREDI 01 JANVIER 2010
NON,OUI,NON,,VIEUX,,OUI,NON,M,COURT,DREUX,VINCENNES,NON,OUI,VENDREDI 01 JANVIER 2010
OUI,OUI,NON,,VIEUX,,OUI,NON,H,COURT,BLANDIN,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
NON,OUI,OUI,,VIEUX,,OUI,NON,H,COURT,VERCRUYSSE,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,OUI,NON,,VIEUX,,OUI,NON,H,COURT,BIGEON,VINCENNES,NON,NON,VENDREDI 01 JANVIER 2010
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,MARTENS,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,ABRIVARD,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,DUVALDESTIN,VINCENNES,OUI,NON,SAMEDI 01 JANVIER 2011
OUI,OUI,OUI,,VIEUX,,OUI,OUI,F,COURT,DAUGEARD,VINCENNES,NON,OUI,SAMEDI 01 JANVIER 2011
OUI,OUI,NON,,VIEUX,,OUI,OUI,F,COURT,BAZIRE,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,NON,OUI,,VIEUX,,OUI,NON,F,COURT,MARY,VINCENNES,NON,OUI,SAMEDI 01 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,F,COURT,LEVESQUE,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,F,COURT,VERBEECK,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,F,COURT,FRIBAULT,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,NON,NON,,VIEUX,,OUI,NON,F,COURT,VERVA,VINCENNES,OUI,NON,SAMEDI 01 JANVIER 2011
OUI,NON,NON,,VIEUX,,OUI,NON,H,LONG,BROHIER,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,NON,,VIEUX,,OUI,NON,H,LONG,DREUX,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,M,LONG,LE BELLER,VINCENNES,NON,OUI,SAMEDI 01 JANVIER 2011
OUI,NON,OUI,,VIEUX,,OUI,NON,M,LONG,FEYTE,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
NON,NON,OUI,,VIEUX,,OUI,NON,H,LONG,BAZIRE,VINCENNES,OUI,NON,SAMEDI 01 JANVIER 2011
NON,OUI,OUI,,VIEUX,,OUI,NON,M,COURT,RAFFIN,VINCENNES,OUI,NON,SAMEDI 01 JANVIER 2011
OUI,OUI,NON,,VIEUX,,OUI,NON,M,COURT,CORDEAU,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,OUI,OUI,,VIEUX,,OUI,NON,F,COURT,LEVESQUE,VINCENNES,NON,NON,SAMEDI 01 JANVIER 2011
OUI,OUI,NON,,VIEUX,,OUI,NON,F,COURT,BIGEON,VINCENNES,NON,OUI,SAMEDI 01 JANVIER 2011
