Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,NON,NON,OUI,NON,NON,8,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,OUI,NON,M,2700,BAZIRE,VINCENNES,
OUI,NON,NON,NON,NON,NON,7,NON,NON,H,2700,NIVARD,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,6,NON,NON,H,2850,BIGEON,VINCENNES,
NON,NON,NON,NON,NON,NON,6,NON,NON,H,2850,ABRIVARD,VINCENNES,
NON,NON,NON,OUI,NON,NON,4,OUI,NON,H,2700,BAZIRE,VINCENNES,
NON,NON,NON,NON,NON,NON,5,NON,NON,F,2700,RAFFIN,VINCENNES,
NON,NON,NON,NON,NON,NON,5,NON,NON,F,2700,OUVRIE,VINCENNES,
NON,NON,NON,NON,NON,NON,4,NON,NON,F,2700,ABRIVARD,VINCENNES,
NON,NON,NON,OUI,NON,NON,4,NON,NON,F,2700,NIVARD,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,NON,M,2700,RAFFIN,VINCENNES,
OUI,NON,NON,OUI,NON,NON,7,NON,NON,M,2700,DREUX,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,NON,H,2700,NIVARD,VINCENNES,
OUI,NON,NON,NON,NON,NON,9,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,NON,NON,NON,8,NON,NON,F,2700,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,8,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,NON,H,2700,VERVA,VINCENNES,
OUI,NON,NON,NON,NON,NON,8,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,NON,NON,NON,8,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,8,NON,NON,H,2850,LEVESQUE,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,M,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,9,NON,NON,H,2850,NIVARD,VINCENNES,
NON,NON,NON,NON,NON,NON,6,NON,NON,H,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,10,NON,NON,H,2850,BIGEON,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,F,2850,BIGEON,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,F,2850,BIGEON,VINCENNES,
NON,NON,NON,NON,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,6,NON,NON,F,2850,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,F,2850,BAZIRE,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,OUI,F,2850,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2850,BIGEON,VINCENNES,
NON,NON,NON,OUI,NON,NON,7,NON,OUI,H,2850,RAFFIN,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,NON,H,2850,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,7,NON,OUI,H,2850,LEVESQUE,VINCENNES,
OUI,NON,NON,NON,NON,OUI,5,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,OUI,NON,NON,5,NON,NON,H,2700,ABRIVARD,VINCENNES,
NON,NON,NON,NON,NON,NON,5,NON,NON,H,2700,AUTRES,VINCENNES,
NON,NON,NON,NON,NON,NON,5,NON,NON,H,2700,OUVRIE,VINCENNES,
NON,NON,NON,OUI,NON,NON,5,NON,NON,H,2700,RAFFIN,VINCENNES,
NON,NON,NON,OUI,NON,NON,6,NON,NON,H,2700,LEVESQUE,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,M,2700,AUTRES,VINCENNES,
OUI,NON,NON,NON,NON,NON,8,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2700,BAZIRE,VINCENNES,
OUI,NON,NON,NON,NON,NON,6,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,NON,NON,H,2700,AUTRES,VINCENNES,
OUI,NON,NON,OUI,NON,NON,6,OUI,NON,H,2700,ABRIVARD,VINCENNES,
