Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,OUI,OUI,OUI,NON,NON,4,NON,NON,F, 2100,F. anne,VINCENNES,3 Janvier 2016
NON,OUI,NON,NON,NON,NON,4,NON,NON,F, 2100,B.r. plai.,VINCENNES,3 Janvier 2016
NON,OUI,NON,OUI,NON,NON,4,NON,NON,F, 2100,P. vercru.,VINCENNES,3 Janvier 2016
NON,OUI,OUI,OUI,NON,NON,4,NON,NON,F, 2100,F. nivard,VINCENNES,3 Janvier 2016
NON,OUI,OUI,NON,NON,NON,4,NON,NON,F, 2100,M. abriva.,VINCENNES,3 Janvier 2016
NON,OUI,NON,OUI,NON,NON,8,NON,NON,M, 2100,J.m. bazi.,VINCENNES,3 Janvier 2016
NON,OUI,OUI,OUI,NON,NON,9,NON,NON,M, 2100,B. goop,VINCENNES,3 Janvier 2016
NON,OUI,OUI,NON,NON,NON,8,NON,NON,M, 2100,Ph. dauge.,VINCENNES,3 Janvier 2016
NON,OUI,NON,OUI,NON,NON,8,NON,NON,M, 2100,R. andreg.,VINCENNES,3 Janvier 2016
NON,OUI,OUI,NON,NON,NON,6,NON,NON,M, 2100,G. gelorm.,VINCENNES,3 Janvier 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,F, 2700,P. levesq.,VINCENNES,3 Janvier 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,F, 2700,J.m. bazi.,VINCENNES,3 Janvier 2016
NON,NON,OUI,OUI,NON,NON,5,NON,NON,F, 2700,E. raffin,VINCENNES,3 Janvier 2016
NON,NON,NON,OUI,NON,NON,5,NON,NON,F, 2700,M. vartia.,VINCENNES,3 Janvier 2016
NON,NON,OUI,NON,NON,NON,5,NON,NON,F, 2700,F. ouvrie,VINCENNES,3 Janvier 2016
NON,OUI,NON,NON,NON,OUI,9,NON,NON,H, 2100,M. abriva.,VINCENNES,3 Janvier 2016
NON,OUI,NON,NON,NON,NON,8,NON,NON,F, 2100,A. laurent,VINCENNES,3 Janvier 2016
NON,OUI,OUI,OUI,NON,NON,8,NON,NON,H, 2100,G. mailla.,VINCENNES,3 Janvier 2016
NON,OUI,NON,OUI,NON,NON,9,NON,NON,H, 2100,Ph. autin,VINCENNES,3 Janvier 2016
NON,OUI,OUI,NON,NON,OUI,9,NON,NON,F, 2100,Ph. terni.,VINCENNES,3 Janvier 2016
NON,NON,NON,NON,NON,OUI,3,NON,NON,F, 2700,B. bourgo.,VINCENNES,3 Janvier 2017
