Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
M. Nimczyk;OUI;2100;OUI;OUI;NON;5;M;OUI;NON;NON;NON;VINCENNES;
P. Vercruysse;NON;2100;NON;OUI;NON;4;M;OUI;NON;OUI;NON;VINCENNES;
M. Lenoir;OUI;2100;NON;OUI;OUI;5;M;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;NON;5;H;NON;NON;NON;NON;VINCENNES;
A.A. Chavatte;OUI;2100;NON;OUI;NON;5;M;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;7;H;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux ;NON;2700;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
A. Abrivard;OUI;2700;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
P. Levesque;NON;2700;NON;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
A. Wiels;NON;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;VINCENNES;
M. Mottier;NON;2850;OUI;NON;OUI;8;H;NON;NON;NON;NON;VINCENNES;
A. Barrier;NON;2850;OUI;NON;OUI;8;F;NON;NON;NON;NON;VINCENNES;
H. Sionneau;OUI;2850;NON;NON;OUI;6;H;OUI;NON;OUI;NON;VINCENNES;
P.Y. Verva;OUI;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;3000;NON;NON;OUI;5;M;NON;NON;NON;NON;VINCENNES;
F. Nivard;OUI;3000;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
E. Lambertz;OUI;3000;NON;NON;OUI;5;M;NON;NON;OUI;NON;VINCENNES;
P. Vercruysse ;NON;3000;NON;NON;OUI;5;M;OUI;NON;OUI;NON;VINCENNES;
M. Mottier;OUI;3000;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
J.Ph. Monclin;NON;2850;NON;NON;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
F. Ouvrie;OUI;2850;NON;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
Loic Groussar;OUI;2850;OUI;NON;OUI;6;F;NON;NON;NON;NON;VINCENNES;
M. Sassier;OUI;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
Mlle J. Lindq;NON;2700;NON;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Baroncini;OUI;2700;NON;NON;OUI;6;H;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;OUI;9;H;NON;NON;NON;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;7;F;NON;OUI;OUI;NON;VINCENNES;
D. Bonne;OUI;2850;NON;NON;OUI;6;H;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
A. Duperche;NON;2850;NON;NON;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2850;NON;NON;OUI;6;H;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2850;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
Ch.J. Bigeon;OUI;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;7;M;NON;NON;OUI;NON;VINCENNES;
A. Wiels;NON;2700;NON;NON;NON;7;F;NON;NON;OUI;NON;VINCENNES;
D. Thomain;NON;2700;NON;NON;OUI;7;M;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;OUI;10;H;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;OUI;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2100;NON;OUI;OUI;7;F;NON;NON;OUI;NON;VINCENNES;
Cedric Terry;NON;2100;NON;OUI;OUI;8;H;NON;NON;NON;NON;VINCENNES;
D. Ribemont;NON;2100;NON;OUI;OUI;9;H;NON;NON;NON;NON;VINCENNES;
D. Brohier;OUI;2100;NON;OUI;OUI;7;H;NON;NON;NON;NON;VINCENNES;
P. Vercruysse;OUI;2700;NON;NON;OUI;4;F;NON;NON;OUI;NON;VINCENNES;
A. Barrier;NON;2700;NON;NON;OUI;4;F;NON;NON;OUI;NON;VINCENNES;
A. Lamy;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;OUI;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
A. Thomas;OUI;2850;OUI;NON;NON;6;F;NON;NON;NON;NON;VINCENNES;
F.P. Bossuet;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2850;NON;NON;OUI;7;F;NON;NON;NON;NON;VINCENNES;
B. Piton;NON;2850;NON;NON;OUI;7;F;NON;NON;NON;OUI;VINCENNES;
M. Fribault;NON;2850;OUI;NON;OUI;6;F;OUI;NON;NON;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;OUI;4;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2700;NON;NON;OUI;4;M;NON;NON;OUI;NON;VINCENNES;
D. Locqueneux;NON;2700;NON;NON;OUI;4;M;OUI;NON;OUI;NON;VINCENNES;
Ch. Martens;OUI;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
Y. Lebourgeoi;NON;2700;NON;NON;OUI;4;M;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2850;NON;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
A. Abrivard;OUI;2850;OUI;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
J.M. Bazire;NON;2850;OUI;NON;OUI;5;F;NON;NON;OUI;NON;VINCENNES;
Th. Viet;NON;2850;OUI;NON;NON;5;F;NON;NON;OUI;NON;VINCENNES;
S. Hardy;OUI;2850;NON;NON;OUI;5;F;NON;NON;NON;NON;VINCENNES;
E. Raffin;NON;2100;NON;OUI;OUI;7;M;OUI;OUI;OUI;NON;VINCENNES;
J.M. Bazire;OUI;2100;NON;OUI;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
J. Bruneau;OUI;2100;NON;OUI;OUI;6;F;NON;NON;OUI;NON;VINCENNES;
D. Bonne;NON;2100;NON;OUI;OUI;6;M;NON;NON;OUI;NON;VINCENNES;
M. Mottier;NON;2100;OUI;OUI;OUI;8;H;NON;NON;NON;NON;VINCENNES;
