Driver;Entraineur;Distance;Recul;Autostart;Deferre;Age;Sexe;Place;Gagnant;Favori;Outsider;Hippodrome;Date
M. Abrivard;NON;2850;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
J.M. Bazire;NON;2700;NON;NON;NON;4;H;OUI;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
F. Ouvrie;NON;2700;NON;NON;NON;5;F;NON;NON;NON;NON;VINCENNES;
M. Abrivard;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;VINCENNES;
E. Raffin;NON;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;VINCENNES;
Ch. Dreux;OUI;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;VINCENNES;
F. Nivard;NON;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
F. Lagadeuc;OUI;2700;NON;NON;NON;9;H;NON;NON;NON;NON;VINCENNES;
M. Mottier;OUI;2700;NON;NON;NON;8;F;NON;NON;NON;NON;VINCENNES;
J. Verbeeck;NON;2700;NON;NON;NON;8;H;NON;NON;OUI;NON;VINCENNES;
M. Mottier;NON;2700;NON;NON;NON;7;H;NON;NON;NON;NON;VINCENNES;
P.Y. Verva;NON;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;VINCENNES;
M.X. Charlot;OUI;2700;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
S. Roger;OUI;2700;NON;NON;NON;8;H;NON;NON;NON;NON;VINCENNES;
P. Levesque;NON;2850;NON;NON;NON;8;H;NON;NON;OUI;NON;VINCENNES;
J.Et. Dubois;OUI;2850;NON;NON;NON;6;M;NON;NON;NON;NON;VINCENNES;
F. Nivard;NON;2850;NON;NON;NON;9;H;NON;NON;NON;NON;VINCENNES;
D. Locqueneux;NON;2850;NON;NON;NON;6;H;NON;NON;NON;NON;VINCENNES;
W. Bigeon;NON;2850;NON;NON;NON;10;H;NON;NON;NON;NON;VINCENNES;
