;Drivers;Entraineur;Distance;Recul/Ligne;Autostart;Déferré;AGE;Sexe;Parmi 5 premiers dernière 5 courses;Gagné 3 dernières courses;côte < 10/1;côte > 70/1;;
;J.M. Bazire;OUI;2100;NON;OUI;NON;5;M;NON;NON;OUI;NON;;
;A. Abrivard;NON;2100;NON;OUI;NON;5;F;NON;NON;NON;NON;;
;J.P. Dubois;OUI;2100;NON;OUI;NON;4;F;NON;NON;OUI;NON;;
;Th. Viet;NON;2850;NON;NON;NON;5;F;NON;NON;NON;NON;;
;Ch. Bigeon;OUI;2850;NON;NON;NON;5;F;NON;NON;OUI;NON;;
;J.M. Bazire;NON;2850;NON;NON;NON;5;F;NON;NON;OUI;NON;;
;F. Ouvrie;NON;2850;NON;NON;NON;5;F;NON;NON;NON;NON;;
;D. Cordeau;OUI;2850;NON;NON;NON;5;F;NON;NON;NON;NON;;
;P. Levesque;NON;2100;OUI;OUI;NON;8;H;NON;NON;OUI;NON;;
;J.M. Bazire;OUI;2100;NON;OUI;NON;6;F;NON;NON;OUI;NON;;
;R. Bergh;OUI;2100;OUI;OUI;NON;6;H;NON;NON;OUI;NON;;
;A. Barrier;NON;2100;NON;OUI;NON;8;F;NON;NON;NON;NON;;
;A. Thomas;OUI;2100;NON;OUI;NON;7;F;NON;NON;NON;NON;;
;J. Dubois;NON;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;;
;M. Abrivard;OUI;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;;
;D. Locqueneux;NON;2700;NON;NON;NON;8;H;NON;NON;OUI;NON;;
;J.M. Bazire;NON;2700;NON;NON;NON;6;M;OUI;NON;OUI;NON;;
;F. Nivard;OUI;2700;NON;NON;NON;7;H;NON;NON;NON;NON;;
;F.P. Bossuet;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;D. Bonne;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;J. Bruneau;OUI;2850;NON;NON;NON;6;H;NON;NON;NON;NON;;
;W. Bigeon;NON;2850;NON;NON;NON;6;H;NON;NON;NON;NON;;
;M. Abrivard;NON;2850;NON;NON;NON;6;H;NON;NON;NON;NON;;
;J.M. Bazire;NON;2700;NON;NON;NON;4;H;OUI;NON;OUI;NON;;
;E. Raffin;NON;2700;NON;NON;NON;5;F;NON;NON;NON;NON;;
;F. Ouvrie;NON;2700;NON;NON;NON;5;F;NON;NON;NON;NON;;
;M. Abrivard;NON;2700;NON;NON;NON;4;F;NON;NON;NON;NON;;
;F. Nivard;NON;2700;NON;NON;NON;4;F;NON;NON;OUI;NON;;
;E. Raffin;NON;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;;
;Ch. Dreux;OUI;2700;NON;NON;NON;7;M;NON;NON;OUI;NON;;
;F. Nivard;NON;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;;
;F. Lagadeuc;OUI;2700;NON;NON;NON;9;H;NON;NON;NON;NON;;
;M. Mottier;OUI;2700;NON;NON;NON;8;F;NON;NON;NON;NON;;
;J. Verbeeck;NON;2700;NON;NON;NON;8;H;NON;NON;OUI;NON;;
;M. Mottier;NON;2700;NON;NON;NON;7;H;NON;NON;NON;NON;;
;P.Y. Verva;NON;2700;NON;NON;NON;7;H;NON;NON;OUI;NON;;
;M.X. Charlot;OUI;2700;NON;NON;NON;8;H;NON;NON;NON;NON;;
;S. Roger;OUI;2700;NON;NON;NON;8;H;NON;NON;NON;NON;;
;P. Levesque;NON;2850;NON;NON;NON;8;H;NON;NON;OUI;NON;;
;J.Et. Dubois;OUI;2850;NON;NON;NON;6;M;NON;NON;NON;NON;;
;F. Nivard;NON;2850;NON;NON;NON;9;H;NON;NON;NON;NON;;
;D. Locqueneux;NON;2850;NON;NON;NON;6;H;NON;NON;NON;NON;;
;W. Bigeon;NON;2850;NON;NON;NON;10;H;NON;NON;NON;NON;;
;Ch. Bigeon;OUI;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;Ch.J. Bigeon;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;G. Gelormini;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;D. Thomain;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;J.M. Bazire;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;F.P. Bossuet;OUI;2850;OUI;NON;NON;6;F;NON;NON;OUI;NON;;
;W. Bigeon;OUI;2850;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;E. Raffin;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;;
;D. Locqueneux;NON;2850;NON;NON;NON;7;H;NON;NON;NON;NON;;
;Th. Levesque;NON;2850;OUI;NON;NON;7;H;NON;NON;NON;NON;;
;R.Ch. Larue;OUI;2700;NON;NON;NON;5;H;NON;NON;NON;oui;;
;A. Abrivard;NON;2700;NON;NON;NON;5;H;NON;NON;OUI;NON;;
;D. Locqueneux;NON;2700;NON;NON;NON;5;H;NON;NON;NON;NON;;
;F. Ouvrie;NON;2700;NON;NON;NON;5;H;NON;NON;NON;NON;;
;E. Raffin;NON;2700;NON;NON;NON;5;H;NON;NON;OUI;NON;;
;P. Levesque;NON;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;H. Sionneau;OUI;2700;NON;NON;NON;6;M;NON;NON;NON;NON;;
;S. Desmarres;OUI;2700;NON;NON;NON;8;H;NON;NON;NON;NON;;
;J.M. Bazire;OUI;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;J.Ph. Mary;OUI;2700;NON;NON;NON;6;H;NON;NON;NON;NON;;
;J.L.Cl. Derso;OUI;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;M. Abrivard;OUI;2700;NON;NON;NON;6;H;OUI;NON;OUI;NON;;
;Th. Viet;NON;2700;NON;NON;NON;6;H;NON;NON;NON;oui;;
;R. Bergh;OUI;2700;NON;NON;NON;6;H;NON;NON;OUI;NON;;
;D. Thomain;NON;2700;NON;NON;NON;6;H;NON;NON;NON;NON;;
;J.M. Bazire;OUI;2700;NON;NON;NON;4;M;NON;NON;OUI;NON;;
;J.L.Cl. Derso;NON;2700;NON;NON;NON;4;H;NON;NON;NON;NON;;
;F. Anne;OUI;2700;NON;NON;NON;4;M;NON;NON;OUI;NON;;
;F. Nivard;NON;2700;NON;NON;NON;4;M;NON;NON;NON;NON;;
;P. Vercruysse;NON;2700;NON;NON;NON;4;M;NON;NON;NON;NON;;
;J.L.Cl. Derso;OUI;2100;OUI;OUI;NON;8;H;NON;NON;OUI;NON;;
;A. Barrier;NON;2100;NON;OUI;NON;6;F;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2100;NON;OUI;NON;7;M;NON;NON;NON;NON;;
;J.M. Bazire;NON;2100;OUI;OUI;NON;6;F;NON;NON;NON;NON;;
;P.Y. Verva;NON;2100;NON;OUI;NON;7;M;NON;NON;NON;NON;;
;A. Barrier;NON;2850;NON;NON;NON;7;F;NON;NON;OUI;NON;;
;J.M. Bazire;NON;2850;NON;NON;NON;8;F;NON;NON;NON;NON;;
;L.Cl. Abrivar;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;F. Nivard;NON;2850;NON;NON;NON;6;F;NON;NON;OUI;NON;;
;Et. Lefranc;OUI;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;A. Barrier;NON;2850;NON;NON;NON;6;F;NON;NON;NON;NON;;
;C. Megissier;OUI;2850;NON;NON;NON;5;M;OUI;NON;OUI;NON;;
;Th. Duvaldest;OUI;2850;NON;NON;NON;7;M;NON;NON;NON;NON;;
;M. Abrivard;NON;2850;NON;NON;NON;7;F;NON;NON;NON;NON;;
;J. Dubois;NON;2850;NON;NON;NON;6;M;NON;NON;OUI;NON;;
;E. Raffin;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;;
;J.M. Bazire;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;;
;M. Mottier;NON;2700;NON;NON;NON;3;F;NON;NON;NON;oui;;
;D. Thomain;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;;
;P. Vercruysse;NON;2700;NON;NON;NON;3;M;NON;NON;NON;NON;;
;Ph. Daugeard;OUI;2850;OUI;NON;NON;7;F;OUI;NON;OUI;NON;;
;J.W. Hallais;OUI;2850;OUI;NON;NON;7;F;NON;NON;NON;NON;;
;S. Roger;OUI;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;;
;S. Ernault;NON;2850;OUI;NON;NON;8;F;OUI;NON;OUI;NON;;
;F. Nivard;OUI;2850;OUI;NON;NON;7;H;NON;NON;NON;NON;;
;F.P. Bossuet;OUI;2100;NON;OUI;NON;6;H;OUI;NON;OUI;NON;;
;J.M. Bazire;NON;2100;NON;OUI;NON;6;H;OUI;NON;OUI;NON;;
;L. Baudron;OUI;2100;NON;OUI;NON;6;F;NON;NON;NON;NON;;
;T. Jansson;OUI;2100;OUI;OUI;NON;6;H;NON;NON;NON;NON;;
;C. Lugauer;OUI;2100;NON;OUI;NON;6;M;NON;NON;OUI;NON;;
;A. Barrier;NON;2850;OUI;NON;NON;7;F;NON;NON;OUI;NON;;
;P.Y. Verva;NON;2850;OUI;NON;NON;8;H;NON;NON;NON;NON;;
;P. Vercruysse;OUI;2850;NON;NON;NON;8;M;NON;NON;OUI;NON;;
;E. Raffin;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;;
;F. Nivard;NON;2850;OUI;NON;NON;7;H;NON;NON;OUI;NON;;
;J.L.Cl. Derso;NON;2100;OUI;OUI;NON;5;H;NON;NON;OUI;NON;;
;P. Vercruysse;NON;2100;NON;OUI;NON;5;H;NON;NON;NON;NON;;
;H. Langeweg J;OUI;2100;OUI;OUI;NON;4;M;OUI;NON;NON;NON;;
;A. Abrivard;NON;2100;NON;OUI;NON;5;F;NON;NON;NON;NON;;
;D. Locqueneux;NON;2100;NON;OUI;NON;5;M;OUI;NON;OUI;NON;;
;J. Dubois;NON;2850;NON;NON;NON;7;H;NON;NON;OUI;NON;;
;D. Thomain;NON;2850;NON;NON;NON;5;F;NON;NON;NON;NON;;
;J.M. Bazire;NON;2850;OUI;NON;NON;5;M;NON;NON;OUI;NON;;
