Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,OUI,OUI,OUI,NON,NON,8,NON,NON,H, 2100,BAZIRE,VINCENNES,5 MARS 2016
OUI,NON,OUI,OUI,NON,NON,8,NON,NON,H, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,NON,NON,NON,NON,8,NON,NON,M, 2900,OUVRIE,AMIENS,9 MARS 2016
OUI,NON,NON,NON,NON,OUI,8,NON,NON,H, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,OUI,NON,NON,NON,8,NON,OUI,F, 2900,AUTRES,AMIENS,9 MARS 2016
OUI,NON,NON,NON,NON,NON,6,NON,OUI,F, 2900,VERCRUYSSE,AMIENS,9 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,NON,H, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,NON,NON,NON,OUI,6,NON,NON,H, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,NON,OUI,NON,NON,6,NON,NON,H, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,NON,NON,NON,NON,6,NON,OUI,H, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,OUI,OUI,NON,NON,6,NON,OUI,H, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,NON,NON,NON,NON,8,NON,NON,F, 2900,VERVA,AMIENS,9 MARS 2016
OUI,NON,NON,NON,NON,NON,6,NON,NON,F, 2900,AUTRES,AMIENS,9 MARS 2016
NON,NON,NON,OUI,NON,NON,6,NON,NON,H, 2900,AUTRES,AMIENS,9 MARS 2016
