Entraineur,Autostart,Deferre,Favori,Gagnant,Outsider,Age,Place,Recul,Sexe,Distance,Driver,Hippodrome,Date
NON,OUI,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,LEVESQUE,VINCENNES,1 JANVIER 2016
OUI,OUI,NON, ,NON, ,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2016
NON,OUI,OUI, ,OUI, ,MEDIUM,NON,OUI,F,COURT,ABRIVARD,VINCENNES,1 JANVIER 2016
NON,OUI,NON, ,OUI, ,MEDIUM,NON,OUI,F,COURT,VERVA,VINCENNES,1 JANVIER 2016
OUI,NON,OUI, ,OUI, ,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2016
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,H,COURT,BAZIRE,VINCENNES,1 JANVIER 2016
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,M,COURT,LEVESQUE,VINCENNES,1 JANVIER 2016
NON,NON,OUI, ,OUI, ,MEDIUM,NON,NON,H,COURT,BIGEON,VINCENNES,1 JANVIER 2016
NON,NON,NON, ,NON, ,MEDIUM,NON,NON,H,COURT,OUVRIE,VINCENNES,1 JANVIER 2016
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,LOCQUENAUX,VINCENNES,1 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,LEVESQUE,VINCENNES,1 JANVIER 2017
NON,NON,OUI, ,NON, ,MEDIUM,NON,NON,F,COURT,ABRIVARD,VINCENNES,1 JANVIER 2017
OUI,NON,OUI, ,OUI, ,MEDIUM,NON,NON,F,COURT,DREUX,VINCENNES,1 JANVIER 2017
NON,NON,OUI, ,, ,MEDIUM,,NON,F,COURT,MARTENS,VINCENNES,1 JANVIER 2017
NON,OUI,NON,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,ABRIVARD,VINCENNES,1 JANVIER 2017
OUI,OUI,NON,NON,OUI,OUI,MEDIUM,NON,NON,F,COURT,,VINCENNES,1 JANVIER 2017
OUI,OUI,OUI,NON,OUI,NON,MEDIUM,NON,OUI,H,COURT,,VINCENNES,1 JANVIER 2017
OUI,OUI,NON,NON,OUI,NON,MEDIUM,NON,OUI,H,COURT,,VINCENNES,1 JANVIER 2017
OUI,OUI,OUI,NON,NON,OUI,MEDIUM,NON,OUI,F,COURT,,VINCENNES,1 JANVIER 2017
NON,OUI,OUI,OUI,OUI,NON,JEUNE,NON,NON,H,COURT,BONNE,VINCENNES,1 JANVIER 2017
NON,OUI,OUI,OUI,NON,NON,JEUNE,NON,NON,M,COURT,THOMAIN,VINCENNES,1 JANVIER 2017
OUI,OUI,OUI,NON,NON,OUI,JEUNE,NON,NON,M,COURT,,VINCENNES,1 JANVIER 2017
NON,OUI,OUI,NON,NON,NON,JEUNE,NON,NON,M,COURT,NIVARD,VINCENNES,1 JANVIER 2017
NON,OUI,NON,NON,OUI,OUI,JEUNE,NON,OUI,M,COURT,VERVA,VINCENNES,1 JANVIER 2017
NON,NON,OUI,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,RAFFIN,VINCENNES,1 JANVIER 2017
NON,NON,OUI,NON,NON,OUI,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2017
NON,NON,OUI,NON,OUI,OUI,MEDIUM,NON,NON,H,COURT,,VINCENNES,1 JANVIER 2017
OUI,NON,OUI,NON,OUI,NON,MEDIUM,NON,NON,H,COURT,NIVARD,VINCENNES,1 JANVIER 2017
NON,NON,NON,NON,NON,NON,MEDIUM,NON,NON,F,COURT,DUBOIS,VINCENNES,1 JANVIER 2017
NON,NON,OUI,NON,NON,OUI,JEUNE,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2017
NON,NON,OUI,NON,NON,OUI,JEUNE,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2017
NON,NON,NON,NON,NON,NON,JEUNE,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2017
NON,NON,OUI,NON,NON,OUI,JEUNE,NON,NON,M,LONG,VERVA,VINCENNES,1 JANVIER 2017
OUI,NON,OUI,NON,NON,OUI,JEUNE,NON,NON,H,LONG,,VINCENNES,1 JANVIER 2017
OUI,OUI,NON, ,, ,MEDIUM,,NON,H,COURT,,VINCENNES,1 JANVIER 2017
NON,OUI,OUI, ,, ,MEDIUM,,NON,M,COURT,NIVARD,VINCENNES,1 JANVIER 2017
NON,OUI,OUI, ,, ,MEDIUM,,OUI,M,COURT,BONNE,VINCENNES,1 JANVIER 2017
OUI,OUI,OUI, ,, ,MEDIUM,,OUI,F,COURT,,VINCENNES,1 JANVIER 2017
NON,OUI,NON, ,, ,MEDIUM,,OUI,H,COURT,,VINCENNES,1 JANVIER 2017
NON,OUI,OUI, ,, ,MEDIUM,,NON,M,COURT,,VINCENNES,1 JANVIER 2017
NON,OUI,OUI, ,, ,MEDIUM,,NON,F,COURT,BIGEON,VINCENNES,1 JANVIER 2017
NON,OUI,OUI, ,, ,MEDIUM,,NON,F,COURT,NIVARD,VINCENNES,1 JANVIER 2017
