Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,OUVRIE,ABRIVARD,No
OUI,F,NON,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,OUVRIE,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,OUI,ABRIVARD,BAZIRE,No
NON,M,NON,NON,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,NON,NON,NON,LONG,OUI,OUI,JEUNE,NON,NON,OUVRIE,BAZIRE,No
NON,H,OUI,NON,NON,LONG,OUI,OUI,JEUNE,NON,NON,OUVRIE,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,OUI,NIVARD,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,ABRIVARD,No
NON,H,OUI,OUI,NON,COURT,NON,NON,JEUNE,NON,NON,RAFFIN,ABRIVARD,No
NON,M,NON,OUI,OUI,COURT,OUI,NON,JEUNE,NON,NON,VERVA,BAZIRE,No
NON,M,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,COURT,OUI,NON,MEDIUM,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,NON,NON,OUVRIE,RAFFIN,No
NON,M,OUI,NON,NON,COURT,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
