Outsider,Sexe,Deferre,Recul,Entraineur,Distance,Favori,Autostart,Age,Gagnant,Place,Driver,Tree,Selected
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,MARTENS,NIVARD,No
NON,H,NON,NON,NON,LONG,OUI,NON,MEDIUM,NON,NON,RAFFIN,NIVARD,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,BAZIRE,BAZIRE,No
OUI,F,OUI,NON,OUI,LONG,NON,NON,JEUNE,NON,NON,VERVA,VERVA,No
NON,H,NON,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,NIVARD,BAZIRE,No
NON,F,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,OUI,NON,ABRIVARD,BAZIRE,No
OUI,M,OUI,NON,NON,COURT,NON,OUI,MEDIUM,NON,NON,MARTENS,MARTENS,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,BIGEON,ABRIVARD,No
OUI,M,NON,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,VERVA,ABRIVARD,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,RAFFIN,NIVARD,No
NON,F,OUI,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,MEDIUM,NON,NON,NIVARD,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,NON,NON,JEUNE,NON,OUI,RAFFIN,ABRIVARD,No
NON,F,OUI,OUI,OUI,LONG,NON,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
NON,F,OUI,NON,NON,COURT,NON,NON,JEUNE,OUI,NON,NIVARD,NIVARD,No
NON,F,OUI,NON,OUI,COURT,OUI,NON,JEUNE,NON,NON,BAZIRE,BAZIRE,No
NON,H,OUI,NON,NON,COURT,OUI,OUI,MEDIUM,NON,NON,NIVARD,NIVARD,No
OUI,H,NON,NON,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,H,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,NIVARD,No
NON,M,OUI,NON,OUI,COURT,OUI,NON,JEUNE,OUI,NON,BAZIRE,BAZIRE,No
OUI,M,OUI,NON,NON,COURT,NON,NON,MEDIUM,OUI,NON,ABRIVARD,MARTENS,No
NON,H,OUI,NON,NON,COURT,NON,OUI,MEDIUM,NON,NON,RAFFIN,RAFFIN,No
NON,F,OUI,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,OUI,OUI,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,ABRIVARD,No
NON,H,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,NIVARD,OUVRIE,No
NON,F,NON,NON,NON,LONG,NON,NON,JEUNE,OUI,NON,OUVRIE,OUVRIE,No
NON,M,NON,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,NIVARD,No
NON,H,OUI,NON,NON,COURT,OUI,NON,MEDIUM,NON,NON,NIVARD,NIVARD,No
NON,H,OUI,NON,NON,COURT,NON,NON,MEDIUM,OUI,NON,RAFFIN,BAZIRE,No
NON,M,OUI,OUI,NON,LONG,OUI,NON,JEUNE,OUI,NON,RAFFIN,RAFFIN,No
NON,F,NON,OUI,NON,LONG,OUI,NON,MEDIUM,OUI,NON,RAFFIN,ABRIVARD,No
OUI,H,OUI,NON,OUI,LONG,NON,NON,MEDIUM,OUI,NON,ABRIVARD,ABRIVARD,No
OUI,F,NON,OUI,NON,LONG,NON,NON,MEDIUM,NON,NON,RAFFIN,ABRIVARD,No
NON,F,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
NON,F,NON,NON,NON,LONG,OUI,NON,JEUNE,OUI,OUI,NIVARD,NIVARD,No
NON,F,NON,OUI,NON,LONG,NON,NON,JEUNE,NON,NON,RAFFIN,RAFFIN,No
NON,M,NON,OUI,NON,LONG,NON,NON,JEUNE,OUI,NON,ABRIVARD,ABRIVARD,No
OUI,F,OUI,NON,NON,LONG,NON,NON,MEDIUM,NON,NON,ABRIVARD,ABRIVARD,No
NON,M,OUI,NON,NON,LONG,OUI,NON,MEDIUM,OUI,NON,NIVARD,BAZIRE,No
NON,H,NON,NON,NON,LONG,OUI,NON,MEDIUM,OUI,NON,NIVARD,NIVARD,No
NON,H,NON,OUI,OUI,LONG,OUI,NON,JEUNE,OUI,NON,NIVARD,NIVARD,No
OUI,H,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,NIVARD,NIVARD,No
NON,F,OUI,NON,NON,COURT,NON,OUI,JEUNE,OUI,NON,OUVRIE,NIVARD,No
NON,F,OUI,NON,OUI,COURT,NON,OUI,JEUNE,NON,NON,VERVA,VERVA,No
NON,F,OUI,NON,OUI,COURT,OUI,OUI,JEUNE,NON,NON,ABRIVARD,BAZIRE,No
OUI,F,NON,OUI,NON,COURT,NON,OUI,JEUNE,NON,NON,RAFFIN,NIVARD,No
NON,F,OUI,NON,NON,LONG,OUI,NON,JEUNE,NON,NON,ABRIVARD,ABRIVARD,No
